id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6528319,Little Yellow Cottage in Monterey!,34144484,Cheryl,,Pacific Grove,36.6214153733022,-121.91950409520705,Entire home/apt,195,30,24,2017-08-16,0.72,1,365
6574233,Pebble Beach Paradise,3190087,Monterey Bay Vacation Rentals,,Pacific Grove,36.60332040682457,-121.93550040419781,Entire home/apt,399,30,12,2017-04-17,0.37,2,258
6646306,Peaceful Space near DLI + Aquarium passes,33787736,Seth + Wendy,,Pacific Grove,36.61493504678062,-121.91548752149833,Private room,99,2,135,2018-04-06,3.88,1,52
6688144,Our Home Near Asilomar Beach #0224,33200182,Danielle And Gabriel,,Pacific Grove,36.61411745199921,-121.92683689749292,Entire home/apt,279,2,76,2018-04-08,2.20,1,235
7104624,Heritage Home,37223357,Jeff &. Carol,,Pacific Grove,36.621707532920276,-121.92174987219323,Entire home/apt,425,30,16,2018-03-30,0.49,1,31
7126880,Charming Victorian in great locale,37329304,David,,Pacific Grove,36.62030792667437,-121.92377306475147,Entire home/apt,275,2,48,2018-03-29,1.44,1,242
7292129,"~Darling Chestnut Cottage Walk to Beach, Town...~",14806795,Kristina,,Pacific Grove,36.62134333633364,-121.9259855965178,Entire home/apt,315,3,52,2018-04-06,1.60,2,346
7327017,Classic Craftsman on Lighthouse Ave,38383796,Erlinda,,Pacific Grove,36.62468345457317,-121.92323690818691,Entire home/apt,300,2,32,2018-02-11,1.00,1,295
7462535,2 Cottages in Private Garden: Sleeps 4+ Kids & Dog,8334086,Mel,,Pacific Grove,36.616171147176026,-121.91343117783943,Entire home/apt,199,2,50,2018-02-18,1.53,1,62
7622828,Mediterranean Luxury Beach Home,39986530,Happy,,Pacific Grove,36.63249534337566,-121.93379611706821,Entire home/apt,795,2,61,2018-04-06,1.87,2,317
7689901,Breathtaking Ocean Front 2 Bed 2 Bath Award Winner,21702753,Kelly,,Pacific Grove,36.620654307564685,-121.90707435877529,Entire home/apt,495,2,91,2018-04-10,2.94,1,161
7698728,Dutches by the Sea,40437652,Jonathan,,Pacific Grove,36.631118144044,-121.92376175423098,Private room,295,2,2,2017-08-19,0.10,2,0
7842731,The Matcha House (Lic#0223),41323269,Eddie & Miko,,Pacific Grove,36.600926700038706,-121.92769874023489,Entire home/apt,198,2,109,2018-04-04,3.34,1,234
8035008,Artist's Arts & Crafts Spa Retreat by the Bay,9060064,Rebecca,,Pacific Grove,36.61585751528536,-121.9205854310033,Entire home/apt,200,1,59,2018-03-28,2.32,1,308
8104325,Coastal Getaway for Family or Group,42790415,Kristy And Ed,,Pacific Grove,36.62938792570624,-121.9307037308263,Entire home/apt,325,4,77,2018-03-30,2.41,1,202
8206801,Pacific grove gem,42919468,Michael,,Pacific Grove,36.604358767804946,-121.91990418111013,Entire home/apt,195,2,0,,,1,330
9012578,1 Bed/1Bath house/Dining area/living room/kitchen,16746377,John,,Pacific Grove,36.62183902721973,-121.91375220064432,Entire home/apt,200,1,259,2018-04-16,8.65,1,247
9028761,Charming Asilomar Beach Retreat,31605798,Scott,,Pacific Grove,36.622844404481064,-121.93188726306926,Entire home/apt,450,2,62,2017-09-24,2.61,1,0
9217124,Kate's Beach Cottage,17383011,Tom And Laurence,,Pacific Grove,36.62025424625581,-121.91487501259535,Entire home/apt,220,2,140,2018-04-08,4.96,1,61
9574239,COMFORTABLE HISTORIC COTTAGE,43389940,Elizabeth,,Pacific Grove,36.62214413490936,-121.92686911418159,Entire home/apt,218,2,188,2018-04-02,6.41,1,219
10107211,"Little Gem @ Asilomar,Off 17 Mile Dr. 2 MBA passes",15033445,Joan,,Pacific Grove,36.617116878678225,-121.92953189635162,Entire home/apt,159,2,112,2018-04-19,4.21,1,310
10204512,Gable Room - Seven Gables Full-Service Inn,46785054,Seven Gables,,Pacific Grove,36.62416940291694,-121.91494987002612,Private room,239,1,2,2016-11-09,0.07,5,290
11210583,Bungalow-by-the-Sea,58388459,Michele,,Pacific Grove,36.62398574236337,-121.92088930494276,Entire home/apt,232,2,29,2018-04-08,1.43,2,345
11219617,Pacific Grove Ocean Sanctuary,58455451,Don,,Pacific Grove,36.60724133787897,-121.91994226119792,Entire home/apt,260,7,17,2017-10-01,0.69,1,191
11256490,Historic Stylish Beach House,29370567,Wendi,,Pacific Grove,36.621539513284375,-121.91499549848074,Entire home/apt,240,2,56,2018-03-30,2.22,1,287
11305882,Lovers Point Cottage,59107155,Heather,,Pacific Grove,36.63053940659792,-121.92526177576947,Entire home/apt,350,2,34,2018-03-04,1.32,1,94
11478979,Award Winning - 'PG'S FINEST' ~ Villa Luz,60409565,Alisa,,Pacific Grove,36.623208066025214,-121.92327210282231,Entire home/apt,243,3,43,2018-04-16,1.94,2,241
11533508,Steps away from Lover's Point beach,60832361,Terre,,Pacific Grove,36.62571185043075,-121.91740143115297,Entire home/apt,195,3,86,2018-04-09,3.68,1,226
11562419,Beautiful Home Beach/Forest Area    PG Lic #0154,61071397,Richard,,Pacific Grove,36.62110860193788,-121.92793350584934,Entire home/apt,222,2,33,2018-04-05,1.45,1,282
11641733,Comfortable home in the pines,8292488,Abby,,Pacific Grove,36.60431783385642,-121.92773572220538,Entire home/apt,282,2,33,2017-10-15,1.39,1,0
11680976,"Sea Lion House, Walk to Beach/Shops/Aquarium",62048305,Christine (Sea Lion Properties LLC),,Pacific Grove,36.61812489244187,-121.91664944636251,Entire home/apt,345,2,72,2018-04-15,3.04,1,313
11910433,"""Coastal Getaway""- Close to Everything",63540891,Bill,,Pacific Grove,36.61968463916232,-121.90535493384618,Entire home/apt,265,2,48,2017-09-25,1.89,1,111
12027823,1/2 Block to Ocean-Sea View Cottage: 2 Bedroom Suite - Seven Gables Full Service Inn,46785054,Seven Gables,,Pacific Grove,36.623588802322594,-121.91602026341982,Entire home/apt,509,1,2,2017-03-14,0.10,5,282
12053553,Dutches-By-The-Sea,40437652,Jonathan,,Pacific Grove,36.62969934926653,-121.9239284557606,Entire home/apt,245,3,19,2018-01-28,0.76,2,322
12848742,Quaint Coastal Cottage ~ Close to town and beach,70177452,Michael & Amy,,Pacific Grove,36.61650717588476,-121.9134738618039,Entire home/apt,225,2,90,2018-04-16,3.78,2,345
13261592,Bright Family Home Near Asilomar Beach & Park 0318,54293045,Amy,,Pacific Grove,36.61622447256369,-121.92902187913003,Entire home/apt,80,2,7,2017-09-16,0.31,1,0
13328382,Chautauqua Room - Seven Gables Full Service Inn,46785054,Seven Gables,,Pacific Grove,36.623084658700584,-121.91652533944426,Private room,199,1,1,2016-08-22,0.05,5,314
13428610,Romantic Private  Master Suite & Gardens #0427,22933425,Jeanne,,Pacific Grove,36.63415469296506,-121.92423953970814,Private room,265,2,10,2017-09-04,0.47,2,153
13490440,"Carmel, Pacific Grove, Pebble, it's all here!",77303104,Shirleen,,Pacific Grove,36.620775766941456,-121.92047197998538,Entire home/apt,375,3,10,2018-01-01,0.46,1,177
13710512,Vacation Get Away,61333960,Kelly & Ken,,Pacific Grove,36.615225772861166,-121.91121781572524,Entire home/apt,150,2,70,2018-04-08,3.35,1,69
13715244,New Cottage ~ Walk To Beach & Town (PG Lic. #0282),24238821,Jessica,,Pacific Grove,36.61756753197643,-121.92037080441033,Entire home/apt,245,2,41,2018-04-08,1.89,1,122
13768901,QUAINT PACIFIC GROVE/PEBBLE BEACH,11486908,Elaine,,Pacific Grove,36.61667543947931,-121.92614088682333,Private room,95,1,233,2018-04-20,10.61,1,240
13902577,"Charming Victorian House, Lover's Point",82415359,Wilson,,Pacific Grove,36.62533477724779,-121.91879285372092,Entire home/apt,398,2,21,2018-02-19,1.02,1,352
14266085,Cottage Retreat Steps from the Sea,10851823,Viveca And Jim,,Pacific Grove,36.62209881491568,-121.91185925113885,Entire home/apt,275,1,132,2018-04-15,6.30,1,295
14302227,Ocean views and perfect sunsets,56250352,Karolien,,Pacific Grove,36.62925480309578,-121.930548668688,Entire home/apt,180,2,4,2017-08-22,0.20,2,5
14388930,Guest House 5 minutes to Asilomar and Pebble Beach,14882503,Richard,,Pacific Grove,36.62257349156951,-121.93442065536333,Entire home/apt,195,3,19,2018-04-07,1.32,1,223
14403615,Dolphin House * cozy fireplace  * great location,88554111,Beverlee,,Pacific Grove,36.61867751057824,-121.91081025963233,Entire home/apt,330,2,64,2018-04-09,3.15,1,185
14475122,California on the Beach Retreat,39986530,Happy,,Pacific Grove,36.62356937079838,-121.94005295025597,Entire home/apt,495,2,27,2018-04-07,1.36,2,357
14539067,Pacific Grove/Pebble Beach with freebies! 0355,85355446,Dee,,Pacific Grove,36.62707191328206,-121.93199078087332,Entire home/apt,126,2,78,2018-04-04,3.84,1,115
14629338,The Mermaid House -Cozy 1928 California Bungalow,25277958,Mary,,Pacific Grove,36.621954497330265,-121.91248520497025,Entire home/apt,175,2,43,2018-04-13,2.22,1,94
14709038,Studio near quiet beaches and beautiful sunsets,56250352,Karolien,,Pacific Grove,36.628616944132936,-121.93215562581648,Entire home/apt,90,2,4,2017-09-17,0.21,2,7
14804837,"Downtown, Remodeled 2br 1ba + 2 Aquarium Passes",6132253,Ben,,Pacific Grove,36.624110623611585,-121.9218767758341,Entire home/apt,200,2,155,2018-04-09,8.23,1,138
15165034,No shared space! Private room/bathroom! PGLic#0405,35048383,Josh And Angi,,Pacific Grove,36.60382560368985,-121.92710366145344,Private room,99,1,208,2018-04-01,11.43,1,65
15205029,Sea la Vie Cottage ..a gem respite,60409565,Alisa,,Pacific Grove,36.62386981585287,-121.92324826245023,Entire home/apt,184,3,37,2018-04-15,2.09,2,258
15328797,Charming Cottage near Downtown and the Beach,5804744,Jesse,,Pacific Grove,36.62129236309567,-121.92105814270201,Entire home/apt,200,2,104,2018-04-14,5.77,1,246
15522012,Pet friendly Forest and Sea Cottage Lic.#0358,99785912,Jeanie,,Pacific Grove,36.617881365775176,-121.93063661578206,Entire home/apt,250,1,38,2018-04-06,2.08,1,46
15649395,Central to Everything - Casa Mariposa,100986890,Jon & Julie,,Pacific Grove,36.620241332015524,-121.92770016463021,Entire home/apt,295,2,11,2018-01-27,0.68,1,274
15775735,"La Mer Cottage, our home by the sea.",70177452,Michael & Amy,,Pacific Grove,36.616765980496716,-121.91412729811837,Entire home/apt,275,2,85,2018-04-15,4.95,2,252
15857785,Heart of PG Cottage,102767409,Joy,,Pacific Grove,36.62133210507529,-121.92037682338271,Entire home/apt,265,1,116,2018-04-15,6.78,1,282
15942471,Comfortable Home Close To Many Attractions,102438701,Lisa,,Pacific Grove,36.6009180065916,-121.93316683765829,Entire home/apt,425,2,20,2018-03-19,1.26,1,156
16159868,Center of Pacific Grove Apt w/ Aquarium Tickets,105477954,Lawrence,,Pacific Grove,36.62175135423882,-121.91884945216631,Entire home/apt,200,1,11,2017-05-28,0.86,1,0
16256158,PRE CHRISTMAS SPECIAL! Great Townhouse near Beach!,9583968,Joanne,,Pacific Grove,36.62946942134428,-121.93017432843627,Entire home/apt,201,1,0,,,1,0
16476278,Ocean View Lovers Point Mermaid Cottage.,2360802,Sean Matthew,,Pacific Grove,36.62788488151103,-121.9206405801123,Entire home/apt,250,2,11,2018-04-05,0.71,1,292
16542967,"Lovers Point Beach House, Perfect Location",99683621,Larry,,Pacific Grove,36.62331852775164,-121.91631835303667,Entire home/apt,390,3,4,2017-05-16,0.28,1,41
16884158,Ocean Front  on Ocean View Blvd,58271767,Evelyn,,Pacific Grove,36.63656742115517,-121.93001808778118,Entire home/apt,385,2,25,2018-03-31,2.01,1,256
16932154,M & M's Cottage,113131164,Michelle,,Pacific Grove,36.615436728457205,-121.92352356593477,Entire home/apt,325,2,18,2018-02-19,1.22,1,227
16960425,Gorgeous View of Ocean and Golf Course,95005119,Rebecca,,Pacific Grove,36.63550145049145,-121.92990032140402,Entire home/apt,375,4,0,,,1,0
16999624,Sea House,694968,Dean,,Pacific Grove,36.619811971374446,-121.90727025043435,Entire home/apt,450,3,22,2018-04-15,1.81,1,144
17094423,Best PG Charmer - Two FREE Aquarium Passes!,1254160,Yvette,,Pacific Grove,36.621403198942005,-121.92266020865154,Entire home/apt,250,2,2,2017-09-11,0.21,1,334
17160049,"Downtown, Family & Biz friendly, Walk to Beach",16838120,Alka,,Pacific Grove,36.62271304059197,-121.9216722911259,Entire home/apt,320,2,89,2018-04-11,6.25,2,270
17417237,"7th Heaven in Pacific Grove, CA",110664679,Rhonda,,Pacific Grove,36.61950964764931,-121.91020799143331,Entire home/apt,225,2,28,2018-03-31,2.01,3,283
17435310,Asilomar Ocean Retreat,49369780,Fatijah,,Pacific Grove,36.6211225952841,-121.93365770961722,Entire home/apt,389,5,7,2018-04-03,0.56,1,223
17479137,"Pacific Grove Cottage, Entire House",118403797,Joe,,Pacific Grove,36.62173626576958,-121.92462475577237,Entire home/apt,219,2,37,2018-03-30,2.65,1,0
17623471,Pacific Grove Mid Century Near Beach,4591051,Dave & Lee,,Pacific Grove,36.6227040697642,-121.93055945460645,Entire home/apt,275,3,56,2018-04-15,4.33,1,275
17642147,Rosie's View,120012255,Bryan And Rosie,,Pacific Grove,36.62613389341038,-121.92125816017406,Entire home/apt,275,1,77,2018-04-08,5.78,1,235
17749391,Pacific Grove Casa Del Mar,121097865,Marci,,Pacific Grove,36.62101589092423,-121.90757572178681,Entire home/apt,550,3,7,2017-11-10,0.53,1,97
18707259,Pacific Grove Retreat,130003926,Susan,,Pacific Grove,36.62723797106164,-121.93356336768194,Entire home/apt,700,3,17,2018-03-25,1.73,1,293
18731829,Monarch Garden Cottage 30 Day Rental,21807468,Suzanne,,Pacific Grove,36.61831043957474,-121.9098620609947,Entire home/apt,50,30,44,2018-03-12,3.92,1,15
18814170,Ocean Views and New in 2017,10624036,Merry,,Pacific Grove,36.61670411299712,-121.91176124724706,Entire home/apt,329,2,43,2018-04-20,3.92,4,104
18917071,Post-Adobe Charmer 2bed/1bath (Lic#: 0387),128301422,Carolyn,,Pacific Grove,36.6066606770776,-121.92253036858041,Entire home/apt,165,2,51,2018-04-15,4.65,2,143
19053738,"Seashell in Pacific Grove, CA",110664679,Rhonda,,Pacific Grove,36.61643295959287,-121.90931575824544,Entire home/apt,132,3,28,2018-03-27,2.73,3,279
19137340,"Pacific Grove Willis House, Walk to Town and Beach",133766053,Chris,,Pacific Grove,36.618844145312906,-121.92375532089596,Entire home/apt,295,2,18,2018-03-29,1.74,1,20
19157142,Bed and Breakfast,73753964,Ralph,,Pacific Grove,36.62179708206356,-121.91851135816654,Private room,169,1,0,,,2,169
19179883,New Gorgeous Remodel w/ Huge Patio & BBQ-,10624036,Merry,,Pacific Grove,36.617760378101885,-121.9116542915479,Entire home/apt,319,2,38,2018-04-15,3.71,4,112
19181667,Laurel Cottage,14299946,Joy,,Pacific Grove,36.6194235292754,-121.92081162752183,Entire home/apt,260,1,49,2018-04-19,4.76,2,342
19192445,NEW! 3BR Pacific Grove Villa - Walk to Beach!,126644773,Evolve Vacation Rental,,Pacific Grove,36.61389904931979,-121.91953066407252,Entire home/apt,1083,2,6,2018-03-11,0.98,2,285
19213454,Walnut House,134461239,Tiffany,,Pacific Grove,36.62172031084403,-121.92462908574933,Entire home/apt,395,2,9,2017-09-22,0.92,1,0
19273446,By The Sea - STR License Number 0412,31885381,Carie,,Pacific Grove,36.61844716419277,-121.90833557517138,Entire home/apt,150,2,77,2018-04-20,7.80,1,240
19606480,Mermaid's Delight,137859136,Terri,,Pacific Grove,36.62726750298622,-121.91974243755544,Entire home/apt,275,1,37,2018-04-15,4.13,1,123
19674285,"Dream Cottage in Pacific Grove, CA",110664679,Rhonda,,Pacific Grove,36.621710377976704,-121.9233238954822,Entire home/apt,169,3,15,2018-03-27,1.60,3,305
19830907,NEWLY REMODELED Pacific Grove Home w/spa (#0406),26564284,Hank & Julie,,Pacific Grove,36.62672525543589,-121.92408630177752,Entire home/apt,255,2,13,2018-04-15,1.54,1,75
19849140,Cherry Pickin 3 Br. PG Home,74476872,Carmel Luxury Getaways,,Pacific Grove,36.61274022549177,-121.92527131544334,Entire home/apt,330,2,4,2017-08-13,0.42,1,322
19910607,NEW! Charming 3BR Cottage Walk To Town & Beach!,85335077,Marci,,Pacific Grove,36.62269126319486,-121.91939447985071,Entire home/apt,395,3,10,2018-01-05,1.42,1,31
19994957,Beach House in the Pines,85109993,Tim & Laurel,,Pacific Grove,36.62424454048152,-121.9328794043987,Entire home/apt,542,2,19,2018-04-15,2.25,1,29
20039140,Pacific Grove Stunner,83196048,Florence,,Pacific Grove,36.62622432137154,-121.92378155088393,Private room,160,1,35,2018-04-01,3.93,1,258
20171635,Stunning Ocean View Townhouse,10624036,Merry,,Pacific Grove,36.617918513835164,-121.91175458056318,Entire home/apt,229,2,24,2018-04-16,3.05,4,76
20190642,Outback Bungalow,58388459,Michele,,Pacific Grove,36.623464459891025,-121.92108596535317,Entire home/apt,165,2,7,2018-04-10,5.83,2,333
20192720,Bright room with loft,1729167,Andrea,,Pacific Grove,36.61720317259208,-121.92009873253355,Private room,75,1,10,2017-11-01,1.19,1,0
20229666,"3743 Pelican Peaks - Ocean Views ~ Walk to Aquarium, Beach & Downtown!!",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.61962106572469,-121.9091188171011,Entire home/apt,366,3,0,,,30,357
20229668,"3749 Victorian Sanctuary by the Sea - Updated,Spacious, Close to Town & Beach",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62361813401109,-121.9224577504166,Entire home/apt,610,3,3,2018-03-21,0.45,30,213
20229669,3746 The Guest House - Walk to Downtown & Aquarium ~ One Block to the Beach!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62025546956894,-121.91006602330738,Entire home/apt,366,3,1,2017-08-20,0.12,30,268
20229670,"3105 The 17th Street House ~ Beautifully Restored Victorian, Top Floor Master",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.6175604168023,-121.9204746562632,Entire home/apt,549,3,4,2018-03-18,0.39,30,46
20229673,"3729 Ocean Park Sanctuary ~ Walk to the Beach, Restaurants & Shopping!",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.61914961091066,-121.92051456592321,Entire home/apt,360,3,2,2017-11-23,0.33,30,331
20229679,"3705 Oceanview Serenity ~ Oceanfront, See Sunrise, Whales, Near Lover's Point",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62585959910072,-121.919275160708,Entire home/apt,366,3,1,2017-06-19,0.10,30,250
20229689,"3704 Ship's Watch ~ Updated Vintage Victorian, Walk to Town, Designer Decor!",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62122784019816,-121.92084405465,Entire home/apt,366,3,2,2017-05-01,0.16,30,287
20229693,"3715 - Bliss by the Sea ~  Close to the Beach, Trails & the Aquarium!!",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.61835951587171,-121.90931469170047,Entire home/apt,397,3,3,2018-01-29,0.23,30,314
20229694,"3724 Sea Glass Sanctuary ~ Bay Views, Walk to Recreation Trail and Ocean!",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.63077190122031,-121.92578112887874,Entire home/apt,732,3,1,2018-02-19,0.48,30,229
20229695,3726 Sea Palm Sanctuary ~ Wonderful Bay Views! Views of the Golf Course!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62770037363272,-121.9220373125079,Entire home/apt,549,3,2,2018-02-21,0.70,30,42
20229696,3718 Ocean Crest ~ Short Walk to the Beach & Golf Links! Gourmet Kitchen!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.630458869549074,-121.92597767977232,Entire home/apt,488,3,0,,,30,247
20229697,3717 Butterfly Landing ~ Large Oak Tree Lot with Bay View ~ Walk to Town,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.61231798345655,-121.91783006894934,Entire home/apt,397,3,0,,,30,297
20229698,3703 La Gloria Cottage-by-the-Sea ~ Walk to Town and Beach! Beautiful Design!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62212672169285,-121.92159970953257,Entire home/apt,366,3,1,2018-01-25,0.34,30,288
20229699,3612 Storybook Cottage ~ Charming Updated Vintage Cottage! Plush Beds!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.61797776444926,-121.91258111175199,Entire home/apt,366,3,1,2017-04-23,0.08,30,299
20229702,3638 Bayview-by-the-Sea Monarch ~ Ocean View ~ Luxurious Remodel ~ Near Beach,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62674366823694,-121.927752964771,Entire home/apt,336,3,1,2017-11-11,0.18,30,329
20229703,3618 Villa Escondido ~ Luxurious ~ Ocean Views ~ Just Steps to the Seashore,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.620028385872054,-121.90938179990847,Entire home/apt,488,3,0,,,30,80
20229704,3602 Seadance ~ Oceanfront! Ocean Views & Sounds of the Sea! Plush Beds!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.635198151331615,-121.9271906331896,Entire home/apt,427,3,0,,,30,270
20229706,3639 Bayview-by-the-Sea Regent ~ Ocean View ~ Luxurious Remodel ~ Near Beach,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.627966741902,-121.92802843199695,Entire home/apt,244,3,0,,,30,354
20229708,3648 Seaside Sanctuary in the Pines ~ Walk to the Beach! Beautiful Design!,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.6179783785891,-121.93284074597045,Entire home/apt,458,3,2,2017-12-10,0.14,30,267
20229709,3640 Bayview-by-the-Sea Admiral ~ Ocean View ~ Luxurious Remodel ~ Near Beach,140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.62672868370793,-121.92819078806075,Entire home/apt,244,3,1,2018-02-18,0.47,30,337
20229710,"3684 Jewel by the Sea ~ Updated, Luxurious, Walk to Town and the Beach",140243627,Sanctuary Vacation Rentals,,Pacific Grove,36.620887371412735,-121.92093498706855,Entire home/apt,519,3,0,,,30,129
